session_id,@timestamp,harm_type,risk_score,ground_truth_cooccurrence
session-0000,2026-01-01T00:02:00+00:00,toxic,0.9438329677689541,1
session-0000,2026-01-01T00:18:00+00:00,stress,0.8902205503603283,1
session-0001,2026-01-01T00:42:00+00:00,toxic,0.9573756671858211,1
session-0001,2026-01-01T00:58:00+00:00,stress,0.9315788846494982,1
session-0002,2026-01-01T01:22:00+00:00,toxic,0.8350683756620239,1
session-0002,2026-01-01T01:38:00+00:00,stress,0.9760995762618809,1
session-0003,2026-01-01T02:02:00+00:00,toxic,0.9417823523184564,1
session-0003,2026-01-01T02:18:00+00:00,stress,0.9457702888443126,1
session-0004,2026-01-01T02:42:00+00:00,toxic,0.8404981812280873,1
session-0004,2026-01-01T02:58:00+00:00,stress,0.8920617500632907,1
session-0005,2026-01-01T03:22:00+00:00,toxic,0.8793276838772129,1
session-0005,2026-01-01T03:38:00+00:00,stress,0.9682823982157762,1
session-0006,2026-01-01T04:02:00+00:00,toxic,0.9230184192129063,1
session-0006,2026-01-01T04:18:00+00:00,stress,0.9516418581233328,1
session-0007,2026-01-01T04:42:00+00:00,toxic,0.890946271812373,1
session-0007,2026-01-01T04:58:00+00:00,stress,0.8563581954855642,1
session-0008,2026-01-01T05:22:00+00:00,toxic,0.9087335659225335,1
session-0008,2026-01-01T05:38:00+00:00,stress,0.830210760976668,1
session-0009,2026-01-01T06:02:00+00:00,toxic,0.9524209875188131,1
session-0009,2026-01-01T06:18:00+00:00,stress,0.9210663038595304,1
session-0010,2026-01-01T06:42:00+00:00,toxic,0.9412940384136598,1
session-0010,2026-01-01T06:58:00+00:00,stress,0.8767241549007789,1
session-0011,2026-01-01T07:22:00+00:00,toxic,0.9753116839031846,1
session-0011,2026-01-01T07:38:00+00:00,stress,0.9628993794115516,1
session-0012,2026-01-01T08:02:00+00:00,toxic,0.9445413595318018,1
session-0012,2026-01-01T08:18:00+00:00,stress,0.8511421932563148,1
session-0013,2026-01-01T08:42:00+00:00,toxic,0.8946753605963255,1
session-0013,2026-01-01T08:58:00+00:00,stress,0.8270086025259565,1
session-0014,2026-01-01T09:22:00+00:00,toxic,0.8446863187308076,1
session-0014,2026-01-01T09:38:00+00:00,stress,0.9292878325187928,1
session-0015,2026-01-01T10:02:00+00:00,toxic,0.9391619449452507,1
session-0015,2026-01-01T10:18:00+00:00,stress,0.9748015571894736,1
session-0016,2026-01-01T10:42:00+00:00,toxic,0.8721320573021043,1
session-0016,2026-01-01T10:58:00+00:00,stress,0.879273552965579,1
session-0017,2026-01-01T11:22:00+00:00,toxic,0.8951289298041293,1
session-0017,2026-01-01T11:38:00+00:00,stress,0.8503154174534857,1
session-0018,2026-01-01T12:02:00+00:00,toxic,0.8407874408536754,1
session-0018,2026-01-01T12:18:00+00:00,stress,0.8961127881961494,1
session-0019,2026-01-01T12:42:00+00:00,toxic,0.8563054958481414,1
session-0019,2026-01-01T12:58:00+00:00,stress,0.9271702391492016,1
session-0020,2026-01-01T13:22:00+00:00,toxic,0.8899443070195729,1
session-0020,2026-01-01T13:38:00+00:00,stress,0.953228511369254,1
session-0021,2026-01-01T14:02:00+00:00,toxic,0.9320424163203598,1
session-0021,2026-01-01T14:18:00+00:00,stress,0.8699786626211266,1
session-0022,2026-01-01T14:42:00+00:00,toxic,0.9531615682232322,1
session-0022,2026-01-01T14:58:00+00:00,stress,0.9487622971994882,1
